City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,tuktoyaktuk,69.4541,-133.0374,5.0,85,100,20.71,CA,1649513573
85,cockburn town,21.4612,-71.1419,78.6,80,55,20.96,TC,1649513573
86,punta arenas,-53.15,-70.9167,42.91,93,40,9.22,CL,1649513573
87,hithadhoo,-0.6,73.0833,84.07,67,94,7.65,MV,1649513573
88,chicama,-7.8447,-79.1469,64.94,72,100,4.79,PE,1649513573
89,chuy,-33.6971,-53.4616,74.28,61,0,4.59,UY,1649513573
90,torbay,47.6666,-52.7314,33.58,84,100,7.0,CA,1649513573
91,faanui,-16.4833,-151.75,82.06,74,87,16.78,PF,1649513573
92,asau,46.4333,26.4,69.28,66,96,12.06,RO,1649513574
93,te anau,-45.4167,167.7167,44.56,90,46,0.38,NZ,1649513574
94,chernyakhovsk,54.6335,21.8156,45.54,52,72,15.7,RU,1649513574
95,nouadhibou,20.931,-17.0347,65.16,82,0,19.98,MR,1649513574
96,luanda,-8.8368,13.2343,81.28,77,37,11.48,AO,1649513314
97,dingle,10.9995,122.6711,76.1,88,100,4.36,PH,1649513574
98,fortuna,40.5982,-124.1573,43.99,84,0,12.66,US,1649513575
99,saint george,37.1041,-113.5841,52.39,24,0,4.61,US,1649513575
100,saint-pierre,-21.3393,55.4781,80.29,69,100,19.57,RE,1649513575
101,hobart,-42.8794,147.3294,64.26,72,40,8.05,AU,1649513289
102,castro,-24.7911,-50.0119,75.07,65,95,5.37,BR,1649513575
103,vao,-22.6667,167.4833,77.45,84,16,24.02,NC,1649513575
104,verkhnevilyuysk,63.4453,120.3167,13.06,98,98,2.46,RU,1649513576
105,aldan,58.6031,125.3894,4.28,91,31,4.88,RU,1649513576
106,conde,-7.2597,-34.9075,85.46,74,40,16.11,BR,1649513576
107,katobu,-4.9408,122.5276,75.56,91,100,2.84,ID,1649513576
108,geraldton,-28.7667,114.6,63.01,77,40,1.14,AU,1649513576
109,vilhena,-12.7406,-60.1458,82.18,64,10,3.6,BR,1649513577
110,cherskiy,68.75,161.3,-8.41,100,97,6.82,RU,1649513577
111,kautokeino,69.0125,23.0412,33.03,99,100,18.43,NO,1649513577
112,nicoya,10.1483,-85.452,81.21,68,99,15.55,CR,1649513577
113,port-gentil,-0.7193,8.7815,75.13,83,100,13.65,GA,1649513577
114,hasaki,35.7333,140.8333,54.0,81,0,16.58,JP,1649513577
115,sao joao da barra,-21.6403,-41.0511,82.49,73,100,6.44,BR,1649513578
116,kloulklubed,7.0419,134.2556,73.9,77,100,18.28,PW,1649513578
117,abu dhabi,24.4667,54.3667,91.51,41,0,4.61,AE,1649513568
118,callaway,30.153,-85.5699,56.98,43,0,13.8,US,1649513578
119,butaritari,3.0707,172.7902,79.97,82,75,11.43,KI,1649513578
120,gusau,12.1628,6.6614,103.44,14,99,1.36,NG,1649513455
121,tura,25.5198,90.2201,72.77,79,2,5.48,IN,1649513578
122,meadow lake,34.8014,-106.5436,57.4,18,4,9.69,US,1649513579
123,shimoda,34.6667,138.95,61.11,86,0,12.17,JP,1649513579
124,raudeberg,61.9875,5.1352,37.87,85,100,29.77,NO,1649513579
125,vestmannaeyjar,63.4427,-20.2734,38.39,75,75,28.77,IS,1649513579
126,klaksvik,62.2266,-6.589,34.72,56,100,14.79,FO,1649513579
127,albany,42.6001,-73.9662,45.39,92,100,1.01,US,1649513579
128,semporna,4.4818,118.6112,79.75,83,95,1.9,MY,1649513579
129,jamestown,42.097,-79.2353,39.18,64,100,11.5,US,1649513579
130,debre birhan,9.6833,39.5333,68.81,24,73,15.21,ET,1649513579
131,toora-khem,52.4675,96.11,25.34,89,100,0.85,RU,1649513579
132,barrow,71.2906,-156.7887,-18.38,69,0,9.22,US,1649513305
133,ayr,55.4627,-4.6339,51.51,46,20,19.57,GB,1649513580
134,bredasdorp,-34.5322,20.0403,66.0,63,32,24.79,ZA,1649513580
135,kaitangata,-46.2817,169.8464,51.46,83,26,9.6,NZ,1649513580
136,santa marta,11.2408,-74.199,86.9,60,99,10.0,CO,1649513580
137,leningradskiy,69.3833,178.4167,-23.12,98,62,4.54,RU,1649513580
138,northam,51.0333,-4.2167,50.61,57,69,8.57,GB,1649513580
139,cabo san lucas,22.8909,-109.9124,67.05,89,0,5.01,MX,1649513580
140,colares,38.7992,-9.4469,69.04,81,75,15.99,PT,1649513580
141,camacha,33.0833,-16.3333,62.02,59,75,10.36,PT,1649513580
142,kimbe,-5.5502,150.1429,74.84,94,76,2.1,PG,1649513580
143,iqaluit,63.7506,-68.5145,9.64,91,100,4.56,CA,1649513581
144,chara,56.9064,118.2631,15.44,81,96,3.31,RU,1649513581
145,kavieng,-2.5744,150.7967,81.18,78,85,4.81,PG,1649513581
146,los llanos de aridane,28.6585,-17.9182,64.15,80,20,4.61,ES,1649513581
147,college,64.8569,-147.8028,-2.42,70,0,0.0,US,1649513581
148,lodwar,3.1191,35.5973,97.65,25,14,20.92,KE,1649513581
149,roebourne,-20.7833,117.1333,86.65,39,6,10.25,AU,1649513581
150,okhotsk,59.3833,143.3,17.56,94,100,4.36,RU,1649513581
151,chokurdakh,70.6333,147.9167,-25.08,100,73,4.68,RU,1649513581
152,bathsheba,13.2167,-59.5167,84.81,65,75,23.02,BB,1649513582
153,port blair,11.6667,92.75,82.44,78,20,2.3,IN,1649513582
154,sitka,57.0531,-135.33,35.49,80,100,3.44,US,1649513582
155,lompoc,34.6391,-120.4579,50.41,82,100,28.99,US,1649513582
156,zhangye,38.9342,100.4517,66.29,15,100,4.41,CN,1649513499
157,pitimbu,-7.4706,-34.8086,86.59,69,86,14.56,BR,1649513582
158,orange cove,36.6244,-119.3137,61.68,47,0,2.1,US,1649513582
159,kedrovyy,56.1667,91.8167,30.87,95,100,4.94,RU,1649513582
160,manggar,-2.8833,108.2667,78.82,81,99,4.92,ID,1649513582
161,huarmey,-10.0681,-78.1522,71.24,77,79,8.12,PE,1649513582
162,norman wells,65.282,-126.8329,22.26,92,100,13.0,CA,1649513582
163,port elizabeth,-33.918,25.5701,67.1,83,79,11.01,ZA,1649513582
164,severo-kurilsk,50.6789,156.125,25.52,77,14,5.75,RU,1649513583
165,moura,38.1401,-7.4486,67.87,59,83,2.71,PT,1649513583
166,saskylakh,71.9167,114.0833,-9.96,97,34,2.8,RU,1649513583
167,bretten,49.0392,8.7028,50.23,83,40,11.95,DE,1649513583
168,harper,4.375,-7.7169,86.86,67,100,10.13,LR,1649513583
169,port-cartier,50.0334,-66.8654,32.76,100,100,1.97,CA,1649513583
170,belousovka,50.1339,82.5239,41.85,65,1,2.24,KZ,1649513583
171,guayaramerin,-10.8368,-65.3614,86.13,63,93,3.06,BO,1649513583
